Instrument,Current Weight,Target Weight,Change (Buy/Sell)
Prime Supply Co,0.0,0.0018642289782129866,0.0018642289782129866
Innovative Industries,0.0,7.619482769583537e-06,7.619482769583537e-06
Alpha Technologies,0.0,5.42187810515566e-05,5.42187810515566e-05
Superior Enterprises,0.0,0.0006274877991389989,0.0006274877991389989
Advanced Corp,0.0,0.0005870928462395761,0.0005870928462395761
Premier Supply Co,0.0,0.00032082589100530394,0.00032082589100530394
Innovative Supply Co,0.0,0.0004491206473356295,0.0004491206473356295
Dynamic Corp,0.0,0.0006117616882320376,0.0006117616882320376
Prime Partners,0.0,3.853120095899174e-05,3.853120095899174e-05
Superior Technologies,0.0,0.0004585710631608548,0.0004585710631608548
Dynamic Supply Co,0.0,0.00012624185314639476,0.00012624185314639476
Dynamic Technologies,0.0,0.0005171685509894187,0.0005171685509894187
Innovative Enterprises,0.0,2.7049797207217026e-17,2.7049797207217026e-17
Dynamic Partners,0.0,0.0012645548324280158,0.0012645548324280158
Elite Partners,0.0,0.00012075723981678417,0.00012075723981678417
Prime Group,0.0,0.0011905241997803647,0.0011905241997803647
Innovative Supply Co,0.0,0.00015583634375843303,0.00015583634375843303
Strategic Technologies,0.0,2.6154802727528214e-05,2.6154802727528214e-05
Superior Manufacturing,0.0,6.11564613244033e-05,6.11564613244033e-05
Innovative Solutions,0.0,0.0007497926813165957,0.0007497926813165957
Global Systems,0.0,3.4318179084686675e-05,3.4318179084686675e-05
Alpha Solutions,0.0,9.231355621325042e-05,9.231355621325042e-05
Prime Corp,0.0,7.589017178388228e-05,7.589017178388228e-05
Strategic Solutions,0.0,0.00033514952005996186,0.00033514952005996186
Strategic Group,0.0,0.0020758953686323624,0.0020758953686323624
Elite Technologies,0.0,0.0008101107162648152,0.0008101107162648152
Global Systems,0.0,6.5685868176137e-06,6.5685868176137e-06
Prime Supply Co,0.0,6.228183587358848e-05,6.228183587358848e-05
Prime Partners,0.0,0.0005085324475936782,0.0005085324475936782
Alpha Corp,0.0,0.00014826465895347382,0.00014826465895347382
Advanced Solutions,0.0,0.00027354047241674365,0.00027354047241674365
Superior Technologies,0.0,0.001052606514994603,0.001052606514994603
Premier Corp,0.0,0.00034643762494429754,0.00034643762494429754
Strategic Technologies,0.0,0.0007957024050203457,0.0007957024050203457
Alpha Group,0.0,0.000825039769425307,0.000825039769425307
Elite Systems,0.0,0.0001158726957603722,0.0001158726957603722
Strategic Industries,0.0,0.00035771277081545887,0.00035771277081545887
Alpha Enterprises,0.0,0.0006599665556556724,0.0006599665556556724
Alpha Group,0.0,4.5617591793472395e-05,4.5617591793472395e-05
Advanced Technologies,0.0,0.0011173333241606457,0.0011173333241606457
Superior Corp,0.0,0.00029738490236662504,0.00029738490236662504
Superior Partners,0.0,0.0007296599266203294,0.0007296599266203294
Advanced Partners,0.0,0.0010767213893877752,0.0010767213893877752
Strategic Solutions,0.0,1.0765628890579997e-14,1.0765628890579997e-14
Alpha Enterprises,0.0,7.384551233101639e-06,7.384551233101639e-06
Advanced Solutions,0.0,0.0010550221424206882,0.0010550221424206882
Dynamic Technologies,0.0,2.6281514164419363e-17,2.6281514164419363e-17
Innovative Enterprises,0.0,0.0008093922487718138,0.0008093922487718138
Advanced Group,0.0,2.477421001669031e-05,2.477421001669031e-05
Alpha Solutions,0.0,0.000390395417954289,0.000390395417954289
Innovative Solutions,0.0,0.00034233607997199007,0.00034233607997199007
Strategic Supply Co,0.0,0.0002169600450745994,0.0002169600450745994
Global Technologies,0.0,9.128854460796781e-06,9.128854460796781e-06
Prime Partners,0.0,0.00015229664215429014,0.00015229664215429014
Premier Technologies,0.0,0.0004122448331639614,0.0004122448331639614
Prime Group,0.0,0.00027523866834255477,0.00027523866834255477
Premier Solutions,0.0,0.00013023895766339292,0.00013023895766339292
Innovative Manufacturing,0.0,0.0038769461960023108,0.0038769461960023108
Alpha Partners,0.0,4.109417440980483e-05,4.109417440980483e-05
Prime Industries,0.0,0.0010636700585035922,0.0010636700585035922
Elite Enterprises,0.0,0.0004303074367327525,0.0004303074367327525
Strategic Enterprises,0.0,1.8979284609878165e-05,1.8979284609878165e-05
Premier Corp,0.0,3.4748099065851896e-05,3.4748099065851896e-05
Dynamic Industries,0.0,2.2649984984250412e-05,2.2649984984250412e-05
Superior Partners,0.0,9.874758813513716e-06,9.874758813513716e-06
Global Supply Co,0.0,5.742721868620111e-07,5.742721868620111e-07
Innovative Systems,0.0,0.004085237081446847,0.004085237081446847
Advanced Enterprises,0.0,0.0012073790422904211,0.0012073790422904211
Prime Enterprises,0.0,4.240442861589e-05,4.240442861589e-05
Premier Corp,0.0,0.0015056525337388128,0.0015056525337388128
Superior Supply Co,0.0,6.493876417318112e-05,6.493876417318112e-05
Elite Manufacturing,0.0,0.0001675583411968808,0.0001675583411968808
Innovative Partners,0.0,3.680764890977026e-05,3.680764890977026e-05
Elite Supply Co,0.0,0.000318503722802871,0.000318503722802871
Alpha Supply Co,0.0,0.0016437608895298352,0.0016437608895298352
Elite Group,0.0,0.0005978345177385551,0.0005978345177385551
Advanced Systems,0.0,2.1771302382961012e-05,2.1771302382961012e-05
Innovative Technologies,0.0,2.5213833786726284e-05,2.5213833786726284e-05
Alpha Industries,0.0,0.0009241297567231177,0.0009241297567231177
Advanced Enterprises,0.0,0.00013631312868377316,0.00013631312868377316
Innovative Technologies,0.0,0.00046560267229434635,0.00046560267229434635
Dynamic Group,0.0,0.00011286605177247067,0.00011286605177247067
Dynamic Technologies,0.0,1.1408367790228272e-14,1.1408367790228272e-14
Alpha Solutions,0.0,9.901764163707691e-06,9.901764163707691e-06
Strategic Corp,0.0,0.00012158414695709209,0.00012158414695709209
Dynamic Partners,0.0,0.00032602275102451713,0.00032602275102451713
Superior Partners,0.0,6.594030307098603e-05,6.594030307098603e-05
Premier Manufacturing,0.0,3.21729565054731e-05,3.21729565054731e-05
Global Group,0.0,0.0007547647595876175,0.0007547647595876175
Elite Technologies,0.0,0.00018560793546170486,0.00018560793546170486
Premier Industries,0.0,3.484644442385447e-05,3.484644442385447e-05
Advanced Solutions,0.0,0.0002886572244791489,0.0002886572244791489
Elite Partners,0.0,0.0001412530320694843,0.0001412530320694843
Premier Systems,0.0,0.0008020586688055235,0.0008020586688055235
Global Technologies,0.0,0.0002680326010150053,0.0002680326010150053
Advanced Systems,0.0,0.0003433933222141075,0.0003433933222141075
Superior Manufacturing,0.0,0.00037129093357723714,0.00037129093357723714
Global Technologies,0.0,8.018613148262601e-05,8.018613148262601e-05
Elite Supply Co,0.0,0.0002720611189811987,0.0002720611189811987
Elite Group,0.0,2.585765382095403e-05,2.585765382095403e-05
Prime Supply Co,0.0,0.0016112833926496398,0.0016112833926496398
Strategic Supply Co,0.0,0.0008452765044237128,0.0008452765044237128
Superior Partners,0.0,0.0008529219008586397,0.0008529219008586397
Premier Solutions,0.0,0.003384955173797869,0.003384955173797869
Innovative Partners,0.0,0.00017941049258539827,0.00017941049258539827
Prime Solutions,0.0,0.0005591592734759059,0.0005591592734759059
Strategic Corp,0.0,3.827386164627306e-05,3.827386164627306e-05
Global Systems,0.0,9.162535574059402e-05,9.162535574059402e-05
Elite Partners,0.0,0.001113814218548185,0.001113814218548185
Strategic Solutions,0.0,1.8123071507325352e-05,1.8123071507325352e-05
Superior Solutions,0.0,0.0007896852494175382,0.0007896852494175382
Advanced Enterprises,0.0,0.002958057466052212,0.002958057466052212
Strategic Technologies,0.0,0.0005829554416998465,0.0005829554416998465
Advanced Solutions,0.0,0.001487315630619877,0.001487315630619877
Strategic Enterprises,0.0,0.0006140059420025234,0.0006140059420025234
Elite Enterprises,0.0,0.0008223225281111631,0.0008223225281111631
Prime Industries,0.0,3.0208456619491197e-05,3.0208456619491197e-05
Dynamic Manufacturing,0.0,0.0008093217244522897,0.0008093217244522897
Alpha Supply Co,0.0,0.00047686185034856367,0.00047686185034856367
Advanced Corp,0.0,5.381778427967589e-05,5.381778427967589e-05
Elite Supply Co,0.0,3.520281759932516e-06,3.520281759932516e-06
Superior Supply Co,0.0,5.027514186894785e-05,5.027514186894785e-05
Global Solutions,0.0,0.00031422252021163426,0.00031422252021163426
Elite Supply Co,0.0,1.467821497863089e-05,1.467821497863089e-05
Strategic Technologies,0.0,0.00032708714731397346,0.00032708714731397346
Superior Enterprises,0.0,0.0003063274583847135,0.0003063274583847135
Premier Solutions,0.0,0.0006337007486409152,0.0006337007486409152
Dynamic Technologies,0.0,0.000155804418262242,0.000155804418262242
Dynamic Systems,0.0,0.00029915162048718637,0.00029915162048718637
Elite Supply Co,0.0,1.3722027158601755e-05,1.3722027158601755e-05
Strategic Solutions,0.0,0.0004938793625556207,0.0004938793625556207
Strategic Enterprises,0.0,0.0012946283555157216,0.0012946283555157216
Global Supply Co,0.0,0.0018436133959063958,0.0018436133959063958
Strategic Group,0.0,0.0002020065792535265,0.0002020065792535265
Premier Technologies,0.0,0.00029603198370787166,0.00029603198370787166
Innovative Corp,0.0,0.00022439459748728853,0.00022439459748728853
Advanced Enterprises,0.0,0.0005727663696429104,0.0005727663696429104
Prime Partners,0.0,5.214485487825343e-05,5.214485487825343e-05
Elite Enterprises,0.0,0.00015393855921160555,0.00015393855921160555
Elite Partners,0.0,0.000220712712933646,0.000220712712933646
Premier Enterprises,0.0,0.00045508342341637673,0.00045508342341637673
Strategic Partners,0.0,0.00033681778382441455,0.00033681778382441455
Dynamic Manufacturing,0.0,0.00024952705826412154,0.00024952705826412154
Prime Corp,0.0,0.0006332495267793302,0.0006332495267793302
Elite Corp,0.0,0.0005949129442743555,0.0005949129442743555
Alpha Supply Co,0.0,2.1038186953630817e-05,2.1038186953630817e-05
Elite Corp,0.0,6.85272729707706e-05,6.85272729707706e-05
Strategic Supply Co,0.0,5.6941579348564635e-05,5.6941579348564635e-05
Premier Enterprises,0.0,0.0008109337518517534,0.0008109337518517534
Premier Partners,0.0,0.00024869920919667204,0.00024869920919667204
Premier Technologies,0.0,0.0011352269882115502,0.0011352269882115502
Advanced Supply Co,0.0,4.524373785666114e-05,4.524373785666114e-05
Prime Industries,0.0,4.7780013455249605e-06,4.7780013455249605e-06
Premier Technologies,0.0,0.00020249513405378017,0.00020249513405378017
Premier Solutions,0.0,0.000240362612363879,0.000240362612363879
Dynamic Enterprises,0.0,0.00136344677228245,0.00136344677228245
Innovative Systems,0.0,2.98834771611524e-05,2.98834771611524e-05
Superior Systems,0.0,3.199908143865916e-05,3.199908143865916e-05
Premier Group,0.0,0.0010597969199743905,0.0010597969199743905
Advanced Corp,0.0,0.0004951209986905501,0.0004951209986905501
Premier Solutions,0.0,0.00013969222608162742,0.00013969222608162742
Alpha Partners,0.0,3.73165221913207e-06,3.73165221913207e-06
Strategic Partners,0.0,0.0010547864683435307,0.0010547864683435307
Alpha Partners,0.0,0.0019122264683588113,0.0019122264683588113
Elite Partners,0.0,0.0001619899326524253,0.0001619899326524253
Elite Group,0.0,0.0003560527186509443,0.0003560527186509443
Global Technologies,0.0,1.9689636365061418e-14,1.9689636365061418e-14
Advanced Manufacturing,0.0,0.00026332859230325425,0.00026332859230325425
Premier Supply Co,0.0,0.0011630164314622078,0.0011630164314622078
Alpha Manufacturing,0.0,0.0004960409967316923,0.0004960409967316923
Dynamic Corp,0.0,5.682823061338826e-05,5.682823061338826e-05
Innovative Manufacturing,0.0,0.0010658916554017192,0.0010658916554017192
Superior Corp,0.0,0.0010857070369362223,0.0010857070369362223
Premier Group,0.0,0.0015296958447200205,0.0015296958447200205
Elite Solutions,0.0,0.00022727129248847872,0.00022727129248847872
Innovative Solutions,0.0,0.0010647895003439813,0.0010647895003439813
Strategic Enterprises,0.0,0.00011911559153265615,0.00011911559153265615
Elite Group,0.0,8.355947073267088e-05,8.355947073267088e-05
Elite Industries,0.0,3.5958973512046885e-05,3.5958973512046885e-05
Premier Manufacturing,0.0,0.00037354750383266543,0.00037354750383266543
Alpha Manufacturing,0.0,0.0004526359725646011,0.0004526359725646011
Dynamic Manufacturing,0.0,1.1145238289334314e-05,1.1145238289334314e-05
Elite Enterprises,0.0,0.00027702844834424884,0.00027702844834424884
Innovative Solutions,0.0,8.104266778791444e-05,8.104266778791444e-05
Alpha Enterprises,0.0,0.00014333777082357107,0.00014333777082357107
Dynamic Enterprises,0.0,0.00047885919399218217,0.00047885919399218217
Alpha Partners,0.0,0.0005909331889469065,0.0005909331889469065
Alpha Supply Co,0.0,0.0006615132928709805,0.0006615132928709805
Prime Solutions,0.0,0.0014195758113427774,0.0014195758113427774
Prime Industries,0.0,0.0014377906326147757,0.0014377906326147757
Superior Manufacturing,0.0,0.0007419350423395336,0.0007419350423395336
Global Group,0.0,0.0006337499773866665,0.0006337499773866665
Prime Supply Co,0.0,0.0002559383470143106,0.0002559383470143106
Innovative Solutions,0.0,0.00019284722979318178,0.00019284722979318178
Prime Enterprises,0.0,2.2345108590239845e-05,2.2345108590239845e-05
Prime Solutions,0.0,3.8862300288115894e-05,3.8862300288115894e-05
Elite Systems,0.0,5.575888062885643e-05,5.575888062885643e-05
Superior Enterprises,0.0,0.001359919792599216,0.001359919792599216
Strategic Systems,0.0,0.0005961274564809963,0.0005961274564809963
Superior Corp,0.0,0.0003743649247445176,0.0003743649247445176
Innovative Systems,0.0,0.00024579096607070733,0.00024579096607070733
Alpha Solutions,0.0,4.771600561612127e-05,4.771600561612127e-05
Prime Corp,0.0,0.000696214336775446,0.000696214336775446
Superior Manufacturing,0.0,0.00024122788161108492,0.00024122788161108492
Advanced Supply Co,0.0,0.00016286254742909758,0.00016286254742909758
Advanced Corp,0.0,0.00020480425475324216,0.00020480425475324216
Alpha Supply Co,0.0,0.00025951999411346065,0.00025951999411346065
Premier Enterprises,0.0,0.0002127544393165168,0.0002127544393165168
Innovative Technologies,0.0,0.0005149634822615992,0.0005149634822615992
Superior Solutions,0.0,0.0004580810359828031,0.0004580810359828031
Premier Manufacturing,0.0,0.0002730112949979551,0.0002730112949979551
Alpha Group,0.0,0.00028260994820842456,0.00028260994820842456
Superior Industries,0.0,5.055671079703557e-05,5.055671079703557e-05
Strategic Technologies,0.0,3.180899033056654e-05,3.180899033056654e-05
Premier Industries,0.0,0.0001049714888372281,0.0001049714888372281
Advanced Industries,0.0,0.0007511210860968432,0.0007511210860968432
Superior Technologies,0.0,4.973165450818935e-05,4.973165450818935e-05
Advanced Supply Co,0.0,0.0022062828648947183,0.0022062828648947183
Innovative Supply Co,0.0,0.000341971237385513,0.000341971237385513
Alpha Corp,0.0,0.00015470471900829857,0.00015470471900829857
Innovative Supply Co,0.0,3.172380165258941e-05,3.172380165258941e-05
Innovative Solutions,0.0,0.0008572724713218463,0.0008572724713218463
Premier Technologies,0.0,0.0031047521435027775,0.0031047521435027775
Alpha Corp,0.0,0.00021692558005318265,0.00021692558005318265
Premier Corp,0.0,0.0007022635217289014,0.0007022635217289014
Premier Solutions,0.0,0.0005416507844144462,0.0005416507844144462
Innovative Systems,0.0,0.0008035234638595932,0.0008035234638595932
Strategic Manufacturing,0.0,8.090652282899088e-05,8.090652282899088e-05
Strategic Corp,0.0,0.00018501603115171609,0.00018501603115171609
Advanced Corp,0.0,0.00011129302213484541,0.00011129302213484541
Elite Solutions,0.0,2.8390178165359624e-17,2.8390178165359624e-17
Alpha Systems,0.0,1.4501229167077439e-06,1.4501229167077439e-06
Global Manufacturing,0.0,0.0010638751793449312,0.0010638751793449312
Superior Manufacturing,0.0,0.0005401374873177919,0.0005401374873177919
Prime Solutions,0.0,0.0001062561822824322,0.0001062561822824322
Alpha Manufacturing,0.0,3.7544653008807345e-05,3.7544653008807345e-05
Elite Group,0.0,7.086425473739314e-05,7.086425473739314e-05
Alpha Manufacturing,0.0,2.8104465486081257e-05,2.8104465486081257e-05
Superior Enterprises,0.0,0.0011680694206985126,0.0011680694206985126
Superior Industries,0.0,0.00030412872771151065,0.00030412872771151065
Alpha Partners,0.0,0.0003660923293068104,0.0003660923293068104
Global Group,0.0,0.0006073266354931633,0.0006073266354931633
Prime Systems,0.0,0.0004550359093573589,0.0004550359093573589
Alpha Supply Co,0.0,6.328472130204882e-05,6.328472130204882e-05
Elite Solutions,0.0,0.0001831463850185262,0.0001831463850185262
Premier Corp,0.0,0.00013178983731672298,0.00013178983731672298
Global Technologies,0.0,0.0013889680375145108,0.0013889680375145108
Global Corp,0.0,1.0334403122992317e-05,1.0334403122992317e-05
Global Partners,0.0,0.0001096348827049399,0.0001096348827049399
Alpha Systems,0.0,0.0007222654323989448,0.0007222654323989448
Dynamic Industries,0.0,0.00023495745513667774,0.00023495745513667774
Global Industries,0.0,5.794332718165242e-06,5.794332718165242e-06
Innovative Corp,0.0,3.6482233939647324e-05,3.6482233939647324e-05
Premier Systems,0.0,0.0031600217584502282,0.0031600217584502282
Alpha Partners,0.0,0.006457201301994969,0.006457201301994969
Alpha Supply Co,0.0,0.000542048939426321,0.000542048939426321
Premier Manufacturing,0.0,0.0004961019381949759,0.0004961019381949759
Alpha Technologies,0.0,5.6662136917388994e-05,5.6662136917388994e-05
Global Industries,0.0,4.1430290905797994e-05,4.1430290905797994e-05
Strategic Technologies,0.0,0.0003857790082187296,0.0003857790082187296
Dynamic Enterprises,0.0,0.0005979609412592469,0.0005979609412592469
Advanced Enterprises,0.0,0.0002194003420835796,0.0002194003420835796
Prime Industries,0.0,0.0026064971657594254,0.0026064971657594254
Strategic Manufacturing,0.0,0.00015880688378489406,0.00015880688378489406
Premier Industries,0.0,2.968990760135534e-14,2.968990760135534e-14
Strategic Technologies,0.0,0.00038878582994020277,0.00038878582994020277
Prime Enterprises,0.0,4.22335148663554e-05,4.22335148663554e-05
Prime Group,0.0,0.0002688116199240104,0.0002688116199240104
Elite Partners,0.0,0.0004442608312286092,0.0004442608312286092
Global Industries,0.0,1.9303271082201232e-07,1.9303271082201232e-07
Alpha Supply Co,0.0,0.0007390525964347737,0.0007390525964347737
Advanced Manufacturing,0.0,0.0009063335376139934,0.0009063335376139934
Alpha Systems,0.0,0.0010553324597495403,0.0010553324597495403
Innovative Partners,0.0,0.0002701577687447915,0.0002701577687447915
Dynamic Systems,0.0,0.0017655827321710268,0.0017655827321710268
Prime Partners,0.0,0.00012038799835454447,0.00012038799835454447
Alpha Technologies,0.0,7.257211345707098e-05,7.257211345707098e-05
Premier Partners,0.0,0.00037152215293496455,0.00037152215293496455
Alpha Manufacturing,0.0,0.0011148018511427874,0.0011148018511427874
Prime Manufacturing,0.0,0.0025273135214060934,0.0025273135214060934
Superior Corp,0.0,0.00021924446681975348,0.00021924446681975348
Alpha Group,0.0,0.0010213003172637148,0.0010213003172637148
Strategic Group,0.0,0.0003872497498497458,0.0003872497498497458
Global Industries,0.0,0.0008334363196505982,0.0008334363196505982
Global Manufacturing,0.0,0.0020713501105672763,0.0020713501105672763
Advanced Group,0.0,0.0005900232403796553,0.0005900232403796553
Alpha Enterprises,0.0,0.00011704172340357564,0.00011704172340357564
Innovative Solutions,0.0,1.6793718855330645e-05,1.6793718855330645e-05
Dynamic Technologies,0.0,0.00024104767802266385,0.00024104767802266385
Prime Group,0.0,0.00021384312567931618,0.00021384312567931618
Global Group,0.0,0.0008229573871569769,0.0008229573871569769
Strategic Systems,0.0,0.0010616424771890272,0.0010616424771890272
Advanced Systems,0.0,4.9609724512552545e-05,4.9609724512552545e-05
Strategic Supply Co,0.0,6.258746629707505e-05,6.258746629707505e-05
Prime Technologies,0.0,1.3634355513560184e-05,1.3634355513560184e-05
Global Industries,0.0,3.120219157413029e-05,3.120219157413029e-05
Dynamic Technologies,0.0,1.2278776994721266e-05,1.2278776994721266e-05
Innovative Partners,0.0,0.00028553889858132827,0.00028553889858132827
Alpha Solutions,0.0,0.00014819656251724805,0.00014819656251724805
Premier Group,0.0,0.000690865810496936,0.000690865810496936
Dynamic Technologies,0.0,2.375389646822918e-17,2.375389646822918e-17
Superior Manufacturing,0.0,0.000264439849162489,0.000264439849162489
Global Corp,0.0,0.0027975174000760728,0.0027975174000760728
Superior Corp,0.0,0.000815958178291808,0.000815958178291808
Superior Supply Co,0.0,0.0002748378918663152,0.0002748378918663152
Dynamic Manufacturing,0.0,0.0007350410412019213,0.0007350410412019213
Innovative Solutions,0.0,0.022388428725512655,0.022388428725512655
Prime Systems,0.0,0.0001682982667544647,0.0001682982667544647
Alpha Technologies,0.0,0.0014437786883037852,0.0014437786883037852
Prime Supply Co,0.0,2.113354723222461e-05,2.113354723222461e-05
Global Group,0.0,8.603540573531165e-05,8.603540573531165e-05
Alpha Technologies,0.0,9.63857029192985e-05,9.63857029192985e-05
Dynamic Industries,0.0,4.2423914373477566e-05,4.2423914373477566e-05
Premier Systems,0.0,0.00011345265371422702,0.00011345265371422702
Global Technologies,0.0,0.00024530006030559233,0.00024530006030559233
Innovative Supply Co,0.0,0.0007102569855522028,0.0007102569855522028
Premier Partners,0.0,0.00024023386982678071,0.00024023386982678071
Alpha Enterprises,0.0,0.00016177422960929737,0.00016177422960929737
Premier Partners,0.0,0.0010838924400195112,0.0010838924400195112
Advanced Systems,0.0,0.0007518373305546481,0.0007518373305546481
Dynamic Solutions,0.0,0.00015261686756443775,0.00015261686756443775
Strategic Enterprises,0.0,1.5099303838726413e-05,1.5099303838726413e-05
Advanced Manufacturing,0.0,0.00016886375428985424,0.00016886375428985424
Elite Technologies,0.0,0.00018581855842348028,0.00018581855842348028
Superior Systems,0.0,3.253412371508205e-05,3.253412371508205e-05
Elite Supply Co,0.0,2.3741094488182905e-17,2.3741094488182905e-17
Strategic Corp,0.0,0.001432434079161021,0.001432434079161021
Advanced Technologies,0.0,0.002831944904203047,0.002831944904203047
Global Group,0.0,0.0008046910500867424,0.0008046910500867424
Advanced Manufacturing,0.0,0.0007305027585226407,0.0007305027585226407
Prime Solutions,0.0,0.0003915537980191888,0.0003915537980191888
Superior Supply Co,0.0,0.0014057308663731856,0.0014057308663731856
Premier Group,0.0,0.0003453911147632443,0.0003453911147632443
Dynamic Manufacturing,0.0,0.00011164214829963501,0.00011164214829963501
Prime Systems,0.0,3.0085775302202054e-05,3.0085775302202054e-05
Dynamic Corp,0.0,0.00026342332385717615,0.00026342332385717615
Advanced Supply Co,0.0,0.002298503211766016,0.002298503211766016
Premier Group,0.0,0.0008054624122290526,0.0008054624122290526
Global Manufacturing,0.0,3.295667317368768e-05,3.295667317368768e-05
Innovative Supply Co,0.0,5.190299844056848e-05,5.190299844056848e-05
Advanced Solutions,0.0,6.97296302214984e-06,6.97296302214984e-06
Strategic Solutions,0.0,1.1013325981230407e-05,1.1013325981230407e-05
Alpha Industries,0.0,0.0004861026930227045,0.0004861026930227045
Dynamic Manufacturing,0.0,0.0011069488025892095,0.0011069488025892095
Global Industries,0.0,4.316438457023432e-05,4.316438457023432e-05
Prime Systems,0.0,4.691173422218947e-05,4.691173422218947e-05
Global Partners,0.0,0.004914499746672826,0.004914499746672826
Strategic Group,0.0,0.0028833876658142187,0.0028833876658142187
Dynamic Group,0.0,0.0005454295047838605,0.0005454295047838605
Elite Systems,0.0,0.0007474428744597487,0.0007474428744597487
Strategic Supply Co,0.0,4.048400750314661e-05,4.048400750314661e-05
Dynamic Manufacturing,0.0,0.0010652798297368436,0.0010652798297368436
Advanced Systems,0.0,0.00024264799314730715,0.00024264799314730715
Premier Corp,0.0,0.00024144120237108455,0.00024144120237108455
Strategic Industries,0.0,0.0007454154356855996,0.0007454154356855996
Global Partners,0.0,0.0008172370674066673,0.0008172370674066673
Prime Supply Co,0.0,0.0010909743529746135,0.0010909743529746135
Advanced Group,0.0,0.00011104823434305585,0.00011104823434305585
Prime Technologies,0.0,7.887318187684602e-05,7.887318187684602e-05
Prime Technologies,0.0,0.00023717676330530765,0.00023717676330530765
Strategic Corp,0.0,0.0012598278232660385,0.0012598278232660385
Strategic Partners,0.0,0.00030995639775814224,0.00030995639775814224
Elite Corp,0.0,0.00023439152545578722,0.00023439152545578722
Advanced Systems,0.0,1.8761749093760018e-07,1.8761749093760018e-07
Alpha Technologies,0.0,6.9411135138194e-05,6.9411135138194e-05
